,store,address,phone
0,학동역 DT점,서울시 강남구 학동로 211 1층  ,02-3444-9973
1,차병원점,서울시 강남구 논현로 566 강남차병원1층  ,02-538-7615
2,강남대로점,서울시 서초구 강남대로 369 1층  ,02-588-5778
3,강남에스점,서울시 서초구 서초 1306-3호  ,02-593-5095
4,청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호  ",02-548-6052
5,신사점,서울시 강남구 도산대로 126  ,02-548-2741
6,압구정역점,서울시 강남구 논현로 842 압구정빌딩1층  ,02-544-6823
7,역삼점,"서울시 강남구 논현로 512  지상1,2층  ",02-569-8051
8,양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층  ,02-578-6833
9,청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층  ,02-542-2053
10,영동점,서울 서초구 반포동 736-17 P빌딩 2층  ,02-3443-2096
11,도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호  ",02-572-2781
12,영동고앞점,"서울시 강남구 선릉로 749 1,2층  ",02-544-3794
13,압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호  ",02-543-5922
14,압구정로데오점,서울시 강남구 선릉로 157길 12 석전빌딩 1~4층  ,02-3445-5093
15,서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층  ,02-582-0158
16,논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층  ,02-513-3870
17,삼성오크우드점,서울 강남구 영동대로 513 컨벤션별관A동 지하 2층  ,02-3466-8507
18,트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층  ,02-6002-6470
19,삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층  ",02-3443-5618
20,반포엘루체점,서울시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호  ,02-3477-5571
21,잠실신천점,서울시 송파구 석촌호수로 118 1층  ,02-416-9520
22,서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호  ",02-3477-5580
23,논현동수면센터점,서울시 강남구 논현로 717 1층  ,02-3443-5575
24,삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층  ,02-2055-1142
25,삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층  ,02-581-5562
26,방배카페골목점,서울특별시 서초구 방배중앙로 187  ,02-592-7794
27,역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층  ,02-554-9962
28,테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층  ,02-538-9927
29,삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층  ,02-538-4523
